"日期","收盘","开盘","高","低","百分比变化"
"2018年8月23日","6.8777","6.8559","6.8799","6.8557","0.52%"
"2018年8月22日","6.8418","6.8388","6.8490","6.8388","-0.08%"
"2018年8月21日","6.8472","6.8382","6.8523","6.8338","-0.15%"
"2018年8月20日","6.8578","6.8625","6.8693","6.8467","-0.29%"
"2018年8月19日","6.8776","6.8776","6.8776","6.8776","0.00%"
"2018年8月17日","6.8775","6.8687","6.8967","6.8687","-0.07%"
"2018年8月16日","6.8825","6.9227","6.9227","6.8816","-0.75%"
"2018年8月15日","6.9348","6.8921","6.9348","6.8877","0.74%"
"2018年8月14日","6.8842","6.8872","6.8972","6.8799","-0.10%"
"2018年8月13日","6.8913","6.8762","6.8914","6.8700","0.64%"
"2018年8月12日","6.8472","6.8455","6.8473","6.8455","0.00%"
"2018年8月10日","6.8472","6.8360","6.8609","6.8308","0.38%"
"2018年8月9日","6.8210","6.8276","6.8381","6.8130","-0.22%"
"2018年8月8日","6.8357","6.8067","6.8414","6.8002","0.06%"
"2018年8月7日","6.8318","6.8510","6.8658","6.8223","-0.32%"
"2018年8月6日","6.8535","6.8276","6.8541","6.8010","0.28%"
"2018年8月5日","6.8342","6.8298","6.8352","6.8298","0.01%"
"2018年8月3日","6.8332","6.8584","6.8949","6.8332","-0.14%"
"2018年8月2日","6.8428","6.8094","6.8514","6.8093","0.29%"
"2018年8月1日","6.8227","6.8294","6.8369","6.7957","0.15%"
"2018年7月31日","6.8127","6.8349","6.8450","6.8127","-0.03%"
"2018年7月30日","6.8150","6.8208","6.8437","6.8150","0.02%"
"2018年7月29日","6.8137","6.8137","6.8137","6.8137","0.00%"
"2018年7月27日","6.8137","6.8080","6.8409","6.8018","0.31%"
"2018年7月26日","6.7927","6.7424","6.7958","6.7423","0.34%"
"2018年7月25日","6.7697","6.7951","6.8088","6.7573","-0.32%"
"2018年7月24日","6.7915","6.8145","6.8248","6.7914","-0.02%"
"2018年7月23日","6.7930","6.7535","6.7965","6.7404","0.50%"
"2018年7月22日","6.7592","6.7705","6.7705","6.7567","-0.17%"
"2018年7月20日","6.7709","6.7790","6.8155","6.7699","-0.06%"
"2018年7月19日","6.7751","6.7249","6.7881","6.7242","0.83%"
"2018年7月18日","6.7196","6.7065","6.7233","6.6986","0.20%"
